Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2018,Air Force,Troy Calhoun,MtWest,"885,000.00",2017,5,7,42,"USAF Academy, Colorado",46692,86
2020,Air Force,Troy Calhoun,MtWest,"1,000,000.00",2019,3,3,50,"USAF Academy, Colorado",46692,86
2016,Air Force,Troy Calhoun,MtWest,"892,500.00",2015,8,6,57,"USAF Academy, Colorado",46692,86
2017,Air Force,Troy Calhoun,MtWest,"885,000.00",2016,10,3,77,"USAF Academy, Colorado",46692,86
2019,Air Force,Troy Calhoun,MtWest,"885,000.00",2018,11,2,85,"USAF Academy, Colorado",46692,86
2015,Air Force,Troy Calhoun,MtWest,"866,250.00",2014,10,3,77,"USAF Academy, Colorado",46692,86
2019,Akron,Terry Bowden,MAC,"412,500.00",2018,0,12,0,"Akron, Ohio",30000,61
2015,Akron,Terry Bowden,MAC,"406,000.00",2014,5,7,42,"Akron, Ohio",30000,61
2017,Akron,Terry Bowden,MAC,"411,000.00",2016,5,7,42,"Akron, Ohio",30000,61
2018,Akron,Terry Bowden,MAC,"411,000.00",2017,7,7,50,"Akron, Ohio",30000,61
2016,Akron,Terry Bowden,MAC,"406,000.00",2015,8,5,62,"Akron, Ohio",30000,61
2020,Akron,Tom Arth,MAC,"500,000.00",2019,1,5,17,"Akron, Ohio",30000,61
2019,Alabama,Nick Saban,SEC,"8,307,000.00",2018,11,2,85,"Tuscaloosa, Alabama",101821,63
2015,Alabama,Nick Saban,SEC,"6,950,203.00",2014,12,2,86,"Tuscaloosa, Alabama",101821,63
2016,Alabama,Nick Saban,SEC,"6,939,395.00",2015,14,1,93,"Tuscaloosa, Alabama",101821,63
2017,Alabama,Nick Saban,SEC,"6,939,395.00",2016,14,1,93,"Tuscaloosa, Alabama",101821,63
2018,Alabama,Nick Saban,SEC,"11,132,000.00",2017,13,1,93,"Tuscaloosa, Alabama",101821,63
2020,Alabama,Nick Saban,SEC,"9,100,000.00",2019,13,0,100,"Tuscaloosa, Alabama",101821,63
2016,Alabama at Birmingham,Bill Clark,CUSA,"605,000.00",2015,0,0,0,"Birmingham, Alabama",71594,58
2017,Alabama at Birmingham,Bill Clark,CUSA,"655,000.00",2016,0,0,0,"Birmingham, Alabama",71594,58
2015,Alabama at Birmingham,Bill Clark,CUSA,"500,000.00",2014,6,6,50,"Birmingham, Alabama",71594,58
2018,Alabama at Birmingham,Bill Clark,CUSA,"630,000.00",2017,8,5,62,"Birmingham, Alabama",71594,58
2019,Alabama at Birmingham,Bill Clark,CUSA,"900,000.00",2018,9,5,64,"Birmingham, Alabama",71594,58
2020,Alabama at Birmingham,Bill Clark,CUSA,"1,500,000.00",2019,6,3,67,"Birmingham, Alabama",71594,58
2015,Appalachian State,Scott Satterfield,SunBelt,"225,000.00",2014,7,5,58,"Boone, North Carolina",24050,67
2018,Appalachian State,Scott Satterfield,SunBelt,"675,000.00",2017,9,4,69,"Boone, North Carolina",24050,67
2017,Appalachian State,Scott Satterfield,SunBelt,"525,000.00",2016,10,3,77,"Boone, North Carolina",24050,67
2016,Appalachian State,Scott Satterfield,SunBelt,"375,000.00",2015,11,2,85,"Boone, North Carolina",24050,67
2019,Appalachian State,Scott Satterfield,SunBelt,"712,500.00",2018,13,1,93,"Boone, North Carolina",24050,67
2020,Appalachian State,Shawn Clark,SunBelt,"750,000.00",2019,9,3,75,"Boone, North Carolina",24050,67
2020,Arizona,Kevin Sumlin,Pac12,"3,100,000.00",2019,0,5,0,"Tucson, Arizona",57803,63
2019,Arizona,Kevin Sumlin,Pac12,"1,600,000.00",2018,4,8,33,"Tucson, Arizona",57803,63
2017,Arizona,Rich Rodriguez,Pac12,"2,500,000.00",2016,3,9,25,"Tucson, Arizona",57803,63
2016,Arizona,Rich Rodriguez,Pac12,"2,878,844.00",2015,7,6,54,"Tucson, Arizona",57803,63
2018,Arizona,Rich Rodriguez,Pac12,"5,631,563.00",2017,7,6,54,"Tucson, Arizona",57803,63
2015,Arizona,Rich Rodriguez,Pac12,"2,898,500.00",2014,10,4,71,"Tucson, Arizona",57803,63
2020,Arizona State,Herm Edwards,Pac12,"3,500,000.00",2019,2,2,50,"Tempe, Arizona",71706,61
2019,Arizona State,Herm Edwards,Pac12,"2,000,000.00",2018,8,5,62,"Tempe, Arizona",71706,61
2017,Arizona State,Todd Graham,Pac12,"3,100,000.00",2016,5,7,42,"Tempe, Arizona",71706,61
2016,Arizona State,Todd Graham,Pac12,"3,000,000.00",2015,6,7,46,"Tempe, Arizona",71706,61
2018,Arizona State,Todd Graham,Pac12,"3,200,000.00",2017,7,6,54,"Tempe, Arizona",71706,61
2015,Arizona State,Todd Graham,Pac12,"2,700,000.00",2014,10,3,77,"Tempe, Arizona",71706,61
2018,Arkansas,Bret Bielema,SEC,"4,200,000.00",2017,4,8,33,"Fayetteville, Arkansas",72000,42
2015,Arkansas,Bret Bielema,SEC,"3,200,000.00",2014,7,6,54,"Fayetteville, Arkansas",72000,42
2017,Arkansas,Bret Bielema,SEC,"4,100,000.00",2016,7,6,54,"Fayetteville, Arkansas",72000,42
2016,Arkansas,Bret Bielema,SEC,"3,954,166.00",2015,8,5,62,"Fayetteville, Arkansas",72000,42
2019,Arkansas,Chad Morris,SEC,"3,500,000.00",2018,2,10,17,"Fayetteville, Arkansas",72000,42
2020,Arkansas,Sam Pittman,SEC,"3,000,000.00",2019,3,7,30,"Fayetteville, Arkansas",72000,42
2020,Arkansas State,Blake Anderson,SunBelt,"825,000.00",2019,4,7,36,"State University, Arkansas",30964,68
2015,Arkansas State,Blake Anderson,SunBelt,"700,000.00",2014,7,6,54,"State University, Arkansas",30964,68
2018,Arkansas State,Blake Anderson,SunBelt,"750,000.00",2017,7,5,58,"State University, Arkansas",30964,68
2017,Arkansas State,Blake Anderson,SunBelt,"700,000.00",2016,8,5,62,"State University, Arkansas",30964,68
2019,Arkansas State,Blake Anderson,SunBelt,"825,000.00",2018,8,5,62,"State University, Arkansas",30964,68
2016,Arkansas State,Blake Anderson,SunBelt,"700,000.00",2015,9,4,69,"State University, Arkansas",30964,68
2016,Army,Jeff Monken,Indep,"883,000.00",2015,2,10,17,"West Point, New York",38000,88
2015,Army,Jeff Monken,Indep,"834,667.00",2014,4,8,33,"West Point, New York",38000,88
2019,Army,Jeff Monken,Indep,"932,521.00",2018,5,8,38,"West Point, New York",38000,88
2017,Army,Jeff Monken,Indep,"932,521.00",2016,8,5,62,"West Point, New York",38000,88
2020,Army,Jeff Monken,Indep,"1,000,000.00",2019,9,3,75,"West Point, New York",38000,88
2018,Army,Jeff Monken,Indep,"932,521.00",2017,10,3,77,"West Point, New York",38000,88
2016,Auburn,Gus Malzahn,SEC,"4,100,000.00",2015,7,6,54,"Auburn, Alabama",87451,60
2020,Auburn,Gus Malzahn,SEC,"6,900,000.00",2019,6,5,55,"Auburn, Alabama",87451,60
2015,Auburn,Gus Malzahn,SEC,"3,850,000.00",2014,8,5,62,"Auburn, Alabama",87451,60
2017,Auburn,Gus Malzahn,SEC,"6,700,000.00",2016,8,5,62,"Auburn, Alabama",87451,60
